title	imdb
How to Be a Cowboy	7.3
HQ Barbers	6.3
I Got the Hook Up	4.1
In Too Deep	6.2
Initial D	8.5
Janoskians: Untold and Untrue	3.6
Kid-E-Cats	6.6
Kuroko's Basketball	8.2
Labyrinth	7.3
Letters to Juliet	6.5
Level 16	6.1
Love Don't Cost a Thing	5.2
Major Dad	6.5
Mars Attacks!	6.4
Marshall	7.3
My Boss's Daughter	4.7
Mystery Men	6.1
Once Upon a Time in America	8.3
Open Season 2	5.5
Osmosis Jones	6.3
Poseidon	5.7
Rhyme & Reason	7.4
Same Kind of Different as Me	6.6
School of Rock	7.2
Snervous Tyler Oakley	5.5
Tears of the Sun	6.6
The Blue Lagoon	5.8
The Golden Child	6
The Guns of Navarone	7.5
The Interview	6.5
The Nutty Professor	5.7
The Nutty Professor II: The Klumps	4.5
Turning Point: 9/11 and the War on Terror	7.9
Welcome Home Roscoe Jenkins	5.5
In the Line of Fire	7.2
Sparking Joy	6.4
Hometown Cha-Cha-Cha	8.4
The Ingenuity of the Househusband	6.7
2 Alone in Paris	5.4
Bread Barbershop	6.7
Thimmarusu	7.1
Wind River	7.7
C Kkompany	5.5
D.P.	8.2
Deadly Sins	7.8
EMI: Liya Hai To Chukana Padega	4.4
He's All That	4.4
I Heart Arlo	6.9
King of Boys: The Return of the King	6.6
Koi Aap Sa	5.6
Krishna Cottage	5.2
Kucch To Hai	4.4
Kyaa Kool Hai Hum	6.1
Kyaa Kool Hain Hum 3	1.9
Kyaa Super Kool Hain Hum	5
Kyo Kii... Main Jhuth Nahin Bolta	5.4
"LSD: Love, Sex Aur Dhokha"	5.7
Mission Istaanbul: Darr Ke Aagey Jeet Hai	3.5
Once Upon a Time in Mumbaai	7.4
Once Upon a Time in Mumbai Dobaara!	4.4
Ragini MMS	3.9
Ragini MMS 2	3.9
Rebellion	7.1
Shootout at Lokhandwala	7.1
Shor In the City	7.2
The Dirty Picture	6.6
Titletown High	5.8
EDENS ZERO	7.1
Family Reunion	6.6
"Bob Ross: Happy Accidents, Betrayal & Greed"	6.9
Clickbait	7.2
John of God: The Crimes of a Spiritual Healer	6.5
Motel Makeover	5
Open Your Eyes	7.7
Post Mortem: No One Dies in Skarnes	7.1
Really Love	7.3
The November Man	6.3
The Old Ways	5.4
The River Runner	6.9
The Water Man	5.6
Wheel of Fortune	6.7
Count Me In	6.8
Oggy Oggy	7.5
Untold: Caitlyn Jenner	1.4
Boomika	5
The Witcher: Nightmare of the Wolf	7.2
Manifest	7
Comedy Premium League	4.8
Everything Will Be Fine	6.3
Gunshot	6.8
Korean Cold Noodle Rhapsody	7.3
Man in Love	7
Sweet Girl	5.5
The Chair	7.2
The Loud House Movie	6.2
A Faraway Land	5
Like Crazy	6.6
Black Island	5.2
Bombay	7.4
Go! Go! Cory Carson	7.9
Memories of a Murderer: The Nilsen Tapes	6.3
Nneka The Pretty Serpent	4
O Kadhal Kanmani	7.4
Out of my league	6.4
Pahuna	7.4
The Defeated	7.1
The Secret Diary of an Exchange Student	5.4
Mother Goose Club	7.3
Walk of Shame	6
Rascal Does Not Dream of Bunny Girl Senpai	8
The Creative Indians	8.3
The Piano	7.5
Unroyal	5.1
Winx Club	6.2
Beckett	5.7
Brand New Cherry Flavor	7.1
Fast & Furious Spy Racers	5.9
Gone for Good	6.3
Grace and Frankie	8.2
The Kingdom	7.2
Valeria	6.6
AlRawabi School for Girls	7.1
Lokillo: Nothing's the Same	4.7
Monster Hunter: Legends of the Guild	5.2
Bake Squad	6.9
La diosa del asfalto	5.1
Misha and the Wolves	6.7
The Kissing Booth 3	4.8
The Railway Man	7.1
Gabby's Dollhouse	7.2
I Need Romance	7.6
Las muñecas de la mafia	6.5
The Crowned Clown	8
SHAMAN KING	6.9
Quartet	6.8
Slay	6.6
Takizawa Kabuki ZERO 2020 The Movie	6.8
The Paper Tigers	6.3
Hit & Run	7
Navarasa	5.8
Quam's Money	4.4
The Swarm	5.8
Vivo	6.7
Chennai Express	6.1
City of God: 10 Years Later	6.4
Esperando la carroza	8
Lady Boss: The Jackie Collins Story	6.9
Tango Feroz	6.6
'76	5.5
Aftermath	5.3
Car Masters: Rust to Riches	8.3
Cocaine Cowboys: The Kings of Miami	7.1
Control Z	6.8
Cooking With Paris	5.4
Autumn's Concerto	7.8
Heavy	6.6
Ije: The Journey	6.2
Office Girls	4.3
Pray Away	6.5
Shiny_Flakes: The Teenage Drug Lord	7.3
The Prince Who Turns into a Frog	6.9
Top Secret UFO Projects: Declassified	5.6
Two Fathers	7.8
You're My Destiny	8
30 Rock	8.3
44 Cats	6
Beethoven	5.7
Beethoven's 2nd	5
Beowulf	6.3
Boyka: Undisputed	6.9
Catch Me If You Can	8.1
Cloudy with a Chance of Meatballs	6.9
Darwin’s Game	7.2
Deep Blue Sea	5.9
Ferris Bueller's Day Off	7.8
Five Feet Apart	7.2
Freedomland	5.2
Friday Night Lights	8.7
Good Luck Chuck	5.6
Hunter X Hunter (2011)	9
I missed you: Director's Cut	5.6
Inception	8.8
Magnolia	8
Major Payne	6.3
My Girl	6.9
My Girl 2	5.3
Open Season: Scared Silly	5
Pineapple Express	6.9
Planet 51	6
Poms	6.1
Seabiscuit	7.3
Space Cowboys	6.5
Team America: World Police	7.2
The Edge of Seventeen	7.3
The Haunting in Connecticut 2: Ghosts of Georgia	5.3
The Last Boy Scout	7
The Lincoln Lawyer	7.7
The Losers	6.2
The Machinist	7.6
The Net	6
The Original Kings of Comedy	6.8
Valentine's Day	5.7
Charmed	7.2
The Lost Café	6.3
The Vault	6.4
Centaurworld	7.7
Eyes of a Thief	6.5
Glow Up	7
Khawatir	9.1
Myth & Mogul: John DeLorean	6.8
Outer Banks	7.5
Pomegranates and Myrrh	6.3
Rurouni Kenshin: The Beginning	7.4
The Last Mercenary	5.3
Flower Girl	5.9
Resort to Love	5.7
Bartkowiak	5.1
Fantastic Fungi	7.4
Tattoo Redo	5.9
The Flash	7.5
The Snitch Cartel: Origins	5.8
All American	7.6
Hostage House	3.9
How to Sell Drugs Online (Fast)	7.8
Mighty Express	3.8
Mimi	5.3
Plastic Cup Boyz: Laughing My Mask Off!	5.4
The Operative	5.8
The Walking Dead	8.1
Wynonna Earp	7.4
Django Unchained	8.5
A Second Chance:  Rivals!	4.8
African America	7.7
Bankrolled	4.2
Blood Red Sky	6.1
Feels Like Ishq	6.5
Kingdom: Ashin of the No	h: 
Masters of the Universe: Revelation	5.6
Sky Rojo	6.6
The Last Letter From Your Lover	6.7
The Movies That Made Us	7.6
9to5: The Story of a Movement	7.4
Chhota Bheem - Dinosaur World	8.1
Chhota Bheem - Neeli Pahaadi	8.3
Chhota Bheem & Ganesh	8.1
Chhota Bheem & Krishna: Mayanagari	6.9
Chhota Bheem & Krishna: Pataliputra- City of the Dead	9.2
Chhota Bheem And The Broken Amulet	7.8
Chhota Bheem And The Crown of Valhalla	6.5
Chhota Bheem and the Incan Adventure	6.5
Chhota Bheem and The ShiNobi Secret	8.3
Chhota Bheem Aur Hanuman	8
Chhota Bheem aur Krishna	6.9
Chhota Bheem aur Krishna vs Zimbara	7.9
Chhota Bheem in African Safari	7.7
Chhota Bheem Ka Roosi Romanch	8.3
Chhota Bheem: Bheem vs Aliens	7.9
Chhota Bheem: Dholakpur to Kathmandu	9.4
Chhota Bheem: Dus Pe Dus	6.8
Chhota Bheem: Journey to Petra	8.6
Chhota Bheem: Master of Shaolin	6.7
Chhota Bheem: The Rise of Kirmada	7.3
Chicago Med	7.6
Cousins	6.3
Wannabe Courageous	5.5
Sanitation Day	4.1
Sexy Beasts	4.7
Too Hot to Handle: Brazil	4.7
Trollhunters: Rise of the Titans	6.6
Milkwater	6.2
Okupas	8.9
Touch Your Heart	7.6
The Tambour of Retribution	6.8
Cosmic Sin	2.5
2 Weeks in Lagos	6
Deep	5.5
Explained	8
Fear Street Part 3: 1666	6.6
Johnny Test	5.2
La ley de Herodes	7.8
Naomi Osaka	6.3
The Beguiled	6.3
The Book of Henry	6.6
The Twilight Saga: Breaking Dawn: Part 1	4.9
The Twilight Saga: Breaking Dawn: Part 2	5.5
The Twilight Saga: Eclipse	5.1
The Twilight Saga: New Moon	4.8
Twilight	5.3
A Perfect Fit	5.4
BEASTARS	7.7
Cheech & Chong's Still Smokin	6
Emicida: AmarElo - Live in São Paulo	8
Her Private Life	7.7
Lift Like a Girl	7.7
My Amanda	5.8
Never Have I Ever	7.8
Surf's Up	6.7
The Unknown Saint	6.5
This Changes Everything	7.7
A Classic Horror Story	5.7
Gunpowder Milkshake	6.1
Heist	8.2
My Unorthodox Life	5.7
Private Network: Who Killed Manuel Buendía?	6.8
The Guide to the Perfect Family	6.4
American Woman	6.8
Day of Destiny	5
Ridley Jones	2
Born to Play	7.1
American Ultra	6.1
The Stand-Up	5.4
The Tour	8.7
Atypical	7.5
Biohackers	6.8
Fear Street Part 2: 1978	6.7
Finding Hubby	4.5
How to Become a Tyrant	7.4
Last Summer	6.3
Lee Su-geun: The Sense Coach	4.3
Lethal Love	4.4
Ratchet and Clank	5.5
The Cook of Castamar	7.4
Virgin River	7.4
Back to Q82	4.2
Elize Matsunaga: Once Upon a Crime	5.9
Home Again	5.8
Midnight Sun	6.6
RESIDENT EVIL: Infinite Darkness	5.8
Rock the Kasbah	5.5
Awon Boyz	5.6
Brick Mansions	5.6
Cat People	6.2
Clash	5.8
Dogs	6.1
Mama Drama	5.3
Tango With Me	6.2
The Mire	7.1
The War Next-door	5.7
Therapy	7
This Little Love Of Mine	5.4
Three Thieves	7.7
A Land Imagined	6.2
Ask the StoryBots	8.5
Between	7.6
Chelsea	7.4
Code Lyoko	7.3
Colony	7.3
Cuckoo	5.7
Derry Girls	8.5
Girl from Nowhere	7.6
Good Morning Call	7.5
Har Kisse Ke Hisse: Kaamyaab	7.8
I AM A KILLER	6.2
I Think You Should Leave with Tim Robinson	8
Kim's Convenience	8.2
Larva	7.1
Marcella	7.4
Midnight Diner: Tokyo Stories	8.4
My Little Pony: Friendship Is Magic	7.7
Orange Is the New Black	8
Puffin Rock	8.6
Richie Rich	5.4
Rise: Ini Kalilah	5.2
Scream	7.4
Shtisel	8.6
Si Doel the Movie 2	6.8
Some Assembly Required	4.6
Tales by Light	8.2
Terrace House: Opening New Doors	7.8
The A List	5.5
The New Legends of Monkey	6.5
The Worst Witch	6.8
Truckbhar Swapna	6.1
Ujala	6.7
Undercover	7.8
Workin' Moms	7.8
YooHoo to the Rescue	6.9
We the People	5.8
Grey's Anatomy	7.6
Big Timber	6.9
Fear Street Part 1: 1994	6.2
Haseen Dillruba	6.9
Holiday on Mars	2.7
Mortel	6.5
RattleSnake - The Ahanna Story	5
Snowpiercer	6.9
The 8th Night	5.3
Winchester	5.4
6 Bullets	6
Air Force One	6.5
Audible	6.7
Austin Powers in Goldmember	6.2
Austin Powers: International Man of Mystery	7
Austin Powers: The Spy Who Shagged Me	6.7
Boogie Nights	7.9
Bureau of Magical Things	6.8
Charlie's Angels	5
Congo	5.3
Dennis the Menace	5.7
Dreamy Eyes	6.9
Dynasty Warriors	4.8
Generation 56k	7.3
Hampstead	6.1
Kung Fu Panda	6.3
Kung Fu Panda 2	7.3
Life as We Know It	6.5
Mary Magdalene	5.9
Masameer County	8
Memoirs of a Geisha	7.3
Midnight Run	7.5
Mobile Suit Gundam Hathaway	6.6
Mortal Kombat	6
Mother's Day	5.6
No Strings Attached	6.2
Not Another Teen Movie	5.8
Ophelia	6.5
Pet Sematary 2	4.9
Quarantine Tales	6.2
Rainbow Rangers	4.1
Red Joan	6.4
Sailor Moon Crystal	7.8
Seven Pounds	7.6
She's Out of My League	6.4
Snow Day	5.2
Star Trek	7
Stuart Little	6
Sword of Trust	6.3
Talladega Nights: The Ballad of Ricky Bobby	6.6
The American	6.9
The Best of Enemies	7.3
The Game	7.7
The Karate Kid	7.3
The Karate Kid Part II	6.1
The Karate Kid Part III	5.3
The Life of David Gale	7.5
The Long Riders	6.9
The Queen	8.5
The Strangers	6.1
The Sum of All Fears	6.4
The Tourist	7.1
Underworld	7
Underworld: Awakening	6.3
Underworld: Rise of the Lycans	6.5
Voiceless	7.2
What Dreams May Come	7
Why Do Fools Fall in Love	6.4
Working Title	8.5
Young Royals	8.2
America: The Motion Picture	5.6
Deranged	6.4
Droppin' Cash: Los Angeles	3.4
Legend of Exorcism	7.1
Lying and Stealing	5.4
Mommy Issues	5.3
Prime Time	5.3
Somos.	7.1
Sophie: A Murder in West Cork	6.8
The Daily Life of the Immortal King	7.1
StarBeam	7.2
A Way Back Home	3.2
Killing Them Softly	6.2
The Seven Deadly Sins	7
Wanted	6.9
Into the Wind	5.3
Wonder Boy	7.2
Here Comes the Rain	6.4
The Ice Road	5.6
Ray	8.3
Sex/Life	5.6
Godzilla Singular Point	6.5
Jiva!	6
Sisters on Track	6.1
The Naked Director	7.7
The Seventh Day	4.5
Good on Paper	5.6
The House of Flowers: The Movie	5.6
The Parisian Agency: Exclusive Properties	7.7
Too Hot to Handle	4.7
Broken	7.2
O Vendedor de Sonhos	6.1
Osuofia in London	6.6
Osuofia in London II	6.8
This Is Pop	6.9
#Selfie	7.2
#Selfie 69	6
Love Is a Story	4.2
The Mole	7.6
"Nevertheless,"	7.1
Bangkok Love Stories: Innocence	6.7
Black Lightning	6.1
Call My Agent!	8.3
Champions	6.8
Charité at War	7.8
Cleo & Cuquin	7.2
Deadwind	7.3
Glee	6.8
Hap and Leonard	7.6
Locked Up	8.1
Mobile Suit Gundam III: Encounters in Space	7.6
No Time for Shame	7.5
Pose	8.6
REA(L)OVE	6.5
Riverdale	6.5
Schitt's Creek	8.5
The Assassination of Gianni Versace	7.7
The Judgement	7.3
They've Gotta Have Us	7.9
Why Are You Like This	6.4
A Family	6.9
Elite	7.2
Fatherhood	6.6
Hospital Playlist	8.7
Jagame Thandhiram	5.8
Kambili: The Whole 30 Yards	6.5
Mobile Suit Gundam I	5.8
So Not Worth It	6.9
The Rational Life	7.9
Ali & Ratu Ratu Queens	7
Aziza	6.5
Besieged Bread	5.8
Black Summer	6.6
Elite Short Stories: Carla Samuel	6.8
Fan Girl	6.6
Katla	7
Record of Ragnarok	6.5
Red Snow	6.4
Silver Linings Playbook	7.7
The Gift	7
A Man For The Week End	6.6
Biking Borders	7.7
Elite Short Stories: Omar Ander Alexis	7.3
Let's Eat	7.6
Lowriders	5.7
Millennials	4.3
Penguin Town	7.9
Security	5.7
Silver Skates	7.1
Avengers Climate Conundrum	6.3
Beyond Evil	8.1
Elite Short Stories: Nadia Guzmán	6.2
FTA	6.4
Headspace: Unwind Your Mind	7.2
Life of Crime	5.8
Power Rangers Dino Fury	6.6
Rhyme Time Town	7.8
Rogue Warfare: Death of a Nation	3.3
Sir! No Sir!	7.6
The American Bible Challenge	6.7
The Reason I Jump	7.4
Elite Short Stories: Guzmán Caye Rebe	7.4
Let's Eat	7.6
Lowriders	5.7
Millennials	4.3
Penguin Town	7.9
Security	5.7
Silver Skates	7.1
Avengers Climate Conundrum	6.3
Beyond Evil	8.1
Elite Short Stories: Nadia Guzmán	6.2
FTA	6.4
Headspace: Unwind Your Mind	7.2
Life of Crime	5.8
Power Rangers Dino Fury	6.6
Rhyme Time Town	7.8
Rogue Warfare: Death of a Nation	3.3
Sir! No Sir!	7.6
The American Bible Challenge	6.7
The Reason I Jump	7.4
Elite Short Stories: Guzmán Caye Rebe	7.4
Metallica: Some Kind of Monster	7.5
Picture a Scientist	7.8
The Devil Below	4.3
Cobra Kai - The Afterparty	8.5
Love (ft. Marriage and Divorce)	6.7
To All the Boys: Always and Forever - The Afterparty	6.3
LEGO Friends: The Power of Friendship	7
Lupin	7.5
Sarbath	5.7
Skater Girl	6.7
Trese	7
Trese After Dark	5.8
Wish Dragon	7.2
A Haunted House 2	4.7
Blind Intersections	6.5
Camellia Sisters	4.8
Copenhagen	7
Locombianos	3.6
Until Midnight	6.3
Awake	6.5
Confusion Na Wa	7.2
"Fresh, Fried & Crispy"	6.3
L.A.’s Finest	6.2
Tragic Jungle	5.6
Guru Aur Bhole	5.1
Vampire Academy	5.4
A Private War	6.7
Kitty Love: An Homage to Cats	5.2
Small Chops	3.4
Breaking Boundaries: The Science Of Our Planet	7.7
Feel Good	7.5
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home	7.7
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home	7.7
Human: The World Within	6.8
Sweet & Sour	6.6
Sweet Tooth	7.7
Trippin' with the Kandasamys	5.2
Xtreme	5.8
Alan Saldaña: Locked Up	4.6
Creator's File: GOLD	6.7
Dancing Queens	5.8
From Stress to Happiness	6.3
Myriam Fares: The Journey	2.3
Pretty Guardian Sailor Moon Eternal The Movie	7
Summertime	7.1
2 Hearts	6.3
A Perfect Ending	5.6
American Outlaws	5.9
And Then Came Lola	4
Attack on Titan	9.1
Battlefield Earth	2.5
Ben & Holly's Little Kingdom	7.4
Black Holes | The Edge of All We Know	6.6
Bliss	5.4
Carnaval	4.1
Cloudburst	7.2
Cocomelon	4
Company of Heroes	5
Cradle 2 the Grave	5.8
Domestic Disturbance	5.6
Downton Abbey	8.7
Dream/Killer	7.4
Felon	7.4
Flipped	7.7
Fools Rush In	6.1
Gold Statue	6.8
Happy Endings	7.8
Hostel: Part III	4.6
I Am Sam	7.6
Love Jones	7.3
Million Dollar Baby	8.1
Mosquita y Mari	6.3
Never Back Down 2: The Beatdown	5.7
Ninja Assassin	6.3
Ouran High School Host Club	7.4
The Upshaws - The Afterparty	7
The Woman in the Window	5.7
Castlevania	8.3
Layer Cake	7.3
Tottaa Pataaka Item Maal	6.3
Dance of the Forty One	7.3
Oxygen	6.5
The Upshaws	7
Use For My Talent	7.2
Dear Affy	5.3
Illegal Woman	6.3
"Money, Explained"	7
Deadly Switch	4.5
Mine	5.8
Nayattu	8.1
Sleepless	5.6
Super Me	7.2
Have You Ever Seen Fireflies? - Theatre Play	6.2
In Our Mothers' Gardens	8.4
Jupiter's Legacy	6.7
Milestone	6.6
Monster	7.8
Sab Jholmaal Hai	7
The Circle - The Afterparty	5.4
Time to Dance	6.3
Unrest	6.6
And Tomorrow the Entire World	6
Dead Man Down	6.4
Framing John DeLorean	6.5
Lava Ka Dhaava	6.3
The Sons of Sam: A Descent into Darkness	7
Selena: The Series	7
StartUp	7.8
The Clovehitch Killer	6.5
Trash Truck	8.6
Aliens Stole My Body	3.5
Angelina Ballerina	5.6
Au coeur des gangs	6.3
Barney and Friends	3.9
Best of the Best	6.7
Dead Again in Tombstone	4.4
Due Date	6.5
Fun with Dick & Jane	6.2
Green Zone	6.8
Hachi: A Dog's Tale	8.1
JT LeRoy	5.5
Madagascar 3: Europe's Most Wanted	6.8
Miniforce: Super Dino Power	6.4
Motu Patlu in Dragon's World	7.5
Motu Patlu in the Game of Zones	8.9
Motu Patlu: Deep Sea Adventure	7.1
Motu Patlu: Mission Moon	7.2
Mystic River	7.9
Never Back Down	6.5
S.M.A.R.T Chase	4.4
Sitting in Limbo	7.2
Stargate	8.4
State of Play	7.1
Swiped	2.8
The Darkest Hour	4.9
The Lovely Bones	6.6
The Sweetest Thing	5.2
The Whole Nine Yards	6.7
The Whole Truth	6.2
The Yeti Adventures	5.1
Under Siege	6.5
Zack and Miri Make a Porno	6.5
Pet Stars	5.2
Seven	8.6
The Disciple	7.1
The Innocent	7.8
The Mitchells vs. The Machines	7.6
The Strangers: Prey at Night	5.3
The Unremarkable Juanquini	4.3
Things Heard & Seen	5.3
Yasuke	6.2
Get the Grift	5.4
Headspace Guide to Sleep	6.8
Sexify	6.5
August: Osage County	7.2
Battle: Los Angeles	5.7
Between Worlds	3.9
Fatma	7.4
One	7.9
Ram Prasad Ki Tehrvi	7.5
Shadow and Bone - The Afterparty	7.5
Among Family	7.6
Dedemin Fisi	5.5
Deliha	4.6
Dü?ün Dernek	6.9
Dügün Dernek 2: Sünnet	6.3
G.O.R.A	8
Hayat Öpücügü	5.9
Heroes: Silence and Rock & Roll	7.5
Kara Bela	6.7
Kocan Kadar Konus	6.1
Kocan Kadar Konus 2: Dirilis	5.7
Legal Hash	8.1
Let's Fight Ghost	6.8
My Travel Buddy	6.1
Niyazi Gül Dörtnala	4.5
Perfume Imaginary Museum “Time Warp”	6.3
Shadow and Bone	7.5
This Lady Called Life	7.4
Vizontele	8
HOMUNCULUS	5.5
Life in Color with David Attenborough	8.2
Searching For Sheela	4.3
Stowaway	5.7
Wild Dog	6.1
Oloibiri	5.2
Tell Me When	5.8
Zero	7.4
Izzy's Koala World	8
Motu Patlu Dino Invasion	4.1
Motu Patlu in Octupus World	7.5
Motu Patlu VS Robo Kids	8.1
Rudra: Secret of the Black Moon	6
Rudra: The Rise of King Pharaoh	3.8
Free to Play	7.6
Luis Miguel - The Series	8
Miss Sloane	7.5
PJ Masks	5.3
American Me	7.1
Delhi Belly	7.6
Dhobi Ghat (Mumbai Diaries)	7
Jaane Tu... Ya Jaane Na	7.4
Lagaan	8.1
Madness in the Desert	7.5
Peepli Live	7.4
Taare Zameen Par	8.3
Ajeeb Daastaans	6.7
Arlo the Alligator Boy	6.4
Barbie & Chelsea: The Lost Birthday	5.3
Crimson Peak	6.5
Dad Stop Embarrassing Me - The Afterparty	4.3
Doctor Bello	4.8
Four Sisters Before the Wedding	6
Into the Beat	5.3
Rush	8.1
Synchronic	6.2
The Zookeeper's Wife	7
Time Trap	6.2
Tuesdays & Fridays	4.5
Dark City Beneath the Beat	6.7
Durarara!!	7.8
GANTZ:O	7.1
Garth Brooks: The Road I’m On	7.4
Gilmore Girls	8.2
High-Rise Invasion	6.5
Next in Fashion	7.3
Only Mine	4.7
Peasants Rebellion	8.1
Power Players	5.9
Ricky Zoom	6.5
Sonic X	6.3
The Master	7.1
Time Is Illmatic	7
Wave of Cinema: One Day We'll Talk About Today	7.3
Zoot Suit	6.7
Dad Stop Embarrassing Me!	4.3
Fate: The Winx Saga	6.8
House of Cards	8.6
Indian Matchmaking	6.3
Jeffrey Epstein: Filthy Rich	7.1
Law School	8
Living with Yourself	7.1
Signal	6
Slasher	6.7
The Soul	6.6
The Underclass	6.6
Unnatural Selection	7.8
Uppena	6.5
Why Did You Kill Me?	5.6
Motu Patlu in the City of Gold	4.8
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers	8.9
Motu Patlu the Superheroes – Super Villains from Mars	6.7
My Love: Six Stories of True Love	7.4
The Baker and the Beauty	7.3
New Gods: Nezha Reborn	6.8
"Nicky, Ricky, Dicky & Dawn"	5.4
The Stand-In	4.7
Heaven Official's Blessing	8.2
Night in Paradise	6.8
Ojukokoro: Greed	6.6
Roohi	4.3
Thunder Force	4.6
Two Distant Strangers	6.9
Story of Kale: When Someone's in Love	6.4
The Way of the Househusband	5.9
Dolly Parton: A MusiCares Tribute	6.6
The Big Day	4.2
The Wedding Coach	5.2
This Is a Robbery: The World's Biggest Art Heist	6.5
The Last Kids on Earth: Happy Apocalypse to You	7.1
Coded Bias	6.7
Mandela	7.1
The Fisherman's Diary	6.4
What Lies Below	4.4
Escape from Planet Earth	5.8
Accepted	6.4
Air Strike	3.2
An American Girl: McKenna Shoots for the Stars	5.7
Concrete Cowboy	6.3
Cross: Rise of the Villains	7.6
God Calling	6
Irul	5.8
Just Say Yes	4.5
Madame Claude	5.4
Wild Child	6.1
Woody Woodpecker	4.2
1.397289351	185
3 Idiots	8.4
Ferrari Ki Sawaari	6.4
Glimpses of a Future	6.6
Ibrahim a Fate to Define	7.5
Insidious	6.8
Into the Grizzly Maze	5.3
Kingsglaive: Final Fantasy XV	6.7
Legally Blonde	6.5
Madam Chief Minister	4.8
Magical Andes	7.7
Maximum Risk	5.5
Murder Maps	7.5
My Fair Lady	7.7
Prank Encounters	5.3
S.W.A.T.: Under Siege	4.6
Secrets of Great British Castles	7.7
Seven Souls in the Skull Castle: Season Bird	6.5
Seven Souls in the Skull Castle: Season Flower	6.9
Seven Souls in the Skull Castle: Season Wind	7.3
Sniper: Ghost Shooter	5.4
Starship Troopers: Traitor of Mars	5.5
Takers	6.2
Tersanjung the Movie	5.9
The Knight and the Princess	5.7
The Pianist	8.5
The Stepfather	5.6
Universal Soldier: The Return	4.2
Wazir	7.1
White Boy	6.5
Worn Stories	6.7
Yes Man	6.8
At Eternity's Gate	6.9
Haunted: Latin America	5.3
Not a Game	9.2
Robocar Poli	5.9
Yu-Gi-Oh!	7.3
7 Yards: The Chris Norton Story	7.8
Octonauts & the Ring of Fire	7.7
Rainbow High	5.7
Mandela: Long Walk to Freedom	7.1
Lawless	7.2
Marked	5.9
A Week Away	5.8
Bad Trip	6.5
Big Time Rush	6.5
Black Is Beltza	5.9
Croupier	7
Elizabeth and Margaret: Love and Loyalty	7.5
Keeping the Bees	5.8
Magic for Humans Spain	7.2
Ni de coña	2.8
Pagglait	6.9
The Irregulars	6.1
Caught by a Wave	5.8
DOTA: Dragon's Blood	7.7
Pui Pui Molcar	8.1
Secret Magic Control Agency	6.2
Seaspiracy	8.1
Loyiso Gola: Unlearning	5.9
Navillera	8.7
Philomena	7.6
Any Crybabies Around?	6
Jiu Jitsu	2.9
Mighty Morphin Power Rangers	6.6
Alien TV	6.5
Country Comfort	6.8
Formula 1: Drive to Survive	8.5
Reframe THEATER EXPERIENCE with you	5.9
The Yin Yang Master	6.4
Who's the Boss	6.6
B: The Beginning	7.1
Deadly Illusions	3.8
Get the Goat	6
Nate Bargatze: The Greatest Average American	7.3
Skylines	4.8
The Fluffy Movie	7.2
The Present	8.3
Catch.er	6.3
Operation Varsity Blues: The College Admissions Scandal	6.9
Under Suspicion: Uncovering the Wesphael Case	6.3
Get on Up	6.9
RebellComedy: Straight Outta the Zoo	4.4
Savages	6.4
Waffles + Mochi	7.4
Abla Fahita: Drama Queen	6.5
C/O Kaadhal	7.6
The BFG	6.3
The Last Blockbuster	6.7
The Lost Pirate Kingdom	6.6
Zero Chill	5.7
Audrey	7.1
Çarsi Pazar	5.2
Just In Time	7
Love Alarm	6.6
Mucize	7
Paper Lives	6.6
Paradise PD	6.8
Quiet	7.5
Romantik Komedi	5.3
Romantik Komedi 2: Bekarl??a Veda	5.2
The One	5
YES DAY	5.7
You're Everything To Me	5.8
Coven of Sisters	6.4
Generasi 90an: Melankolia	5.4
The Block Island Sound	5.4
Dealer	6.5
Last Chance U: Basketball	8.3
Marriage or Mortgage	5.3
The Houseboat	6.6
Bombay Begums	5.1
Bombay Rose	6.5
My Way	6.8
Aelay	7
City of Ghosts	5.9
Dogwashers	5.7
Fate of Alakada	6.8
Nevenka: Breaking the Silence	6.9
Pokémon Journeys: The Series	7.6
Sentinelle	4.8
Mariposa	6.7
Pacific Rim: The Black	7.1
Parker	6.2
Safe Haven	6.7
Moxie	6.7
Murder Among the Mormons	7
Black or White	6.6
Indoo Ki Jawani	3.3
Word Party	5.6
A Perfect Day For Arsenide	5.2
Banyuki	6.7
Biggie: I Got a Story to Tell	6.8
Blanche Gardin: The All-Nighter	6.6
Connected	6.6
Dances with Wolves	8
How to Be Really Bad	6.1
LEGO Marvel Spider-Man: Vexed by Venom	5.7
Rain Man	8
Seven Souls in the Skull Castle 2011	7.3
Tenacious D in The Pick of Destiny	6.8
TIGER & BUNNY	7.2
Bigfoot Family	5.8
Captain Fantastic	7.8
Crazy About Her	6.6
Fuga	6.3
Ginny & Georgia - The Afterparty	7.5
No Escape	6.7
Our Idiot Brother	6.4
The Girl on the Train	6.5
Tony Manero	6.8
Who Am I	7.4
El final del paraíso	5.1
Geez & Ann	5.1
Sin senos sí hay paraíso	6.6
The Last Bastion	8.2
Age of Samurai: Battle for Japan	7.4
"Blue, Painful, Fragile"	6.1
Canine Intervention	6.7
Ginny & Georgia	7.5
M8 - When Death Rescues Life	7.1
Two Sentence Horror Stories	5.6
Brian Regan: On the Rocks	6.9
